asin,pincode,title,price,rating,review_count,delivery,availability,seller
"B0FV31DDT7",,"MagPro case for Samsung Galaxy S24 5G | MagSafe Compatible Protective Cover with Strong Magnetic Adsorption Shockproof Armor Scratch Resistant Polycarbonate Hard Back | Translucent Matte Black","₹999","4.1","151","FREE delivery Monday, 4 May on your first order. Details","In stock","Cocoblu Retail"
"B0FQFV2XKS",,"Apple iPhone 17 Pro Max 256 GB: 17.42 cm (6.9″) Display with Promotion, A19 Pro Chip, Best Battery Life in Any iPhone Ever, Pro Fusion Camera System, Center Stage Front Camera; Deep Blue","₹1,49,900","4.5","318","FREE delivery Saturday, 2 May. Details","In stock","Clicktech Retail Private Ltd"
